Position,"Track Name",Artist,Streams,URL
135,"The Night We Met","Lord Huron",1557449,https://open.spotify.com/track/0QZ5yyl6B6utIWkxeBDxQN
136,Party,"Chris Brown",1546809,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk
137,"Side To Side","Ariana Grande",1539417,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
138,"Obsession (feat. Jon Bellion)",Vice,1531551,https://open.spotify.com/track/542Xd5qDeLBvgXZXhfW7LE
139,"Nothings Into Somethings",Drake,1530949,https://open.spotify.com/track/6MbH1QiphMCPTqVEVC7UYi
140,"All Time Low","Jon Bellion",1527726,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
141,Don't,"Bryson Tiller",1525073,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
142,"Go Flex","Post Malone",1490004,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
143,Dive,"Ed Sheeran",1485207,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
144,"No Favors","Big Sean",1483986,https://open.spotify.com/track/1MksGqIztTT6M9R1ErKVs8
145,Glow,Drake,1483337,https://open.spotify.com/track/28irpKCCK9nn9DZSik2zEx
146,"Everyday We Lit","YFN Lucci",1477217,https://open.spotify.com/track/7mz8bgoIWwAjUBXeWUHphh
147,Controlla,Drake,1475439,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
148,"Let Me Love You","DJ Snake",1465548,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
149,"Conscience (feat. Future)","Kodak Black",1464591,https://open.spotify.com/track/16dXg2YuFOxwDC3cTf5jde
150,Hurricane,"Luke Combs",1460630,https://open.spotify.com/track/4gHDOASpAaGG9eitQZP1bQ
151,"In the Name of Love","Martin Garrix",1459722,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
152,"Too Many Years","Kodak Black",1459141,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
153,"beibs in the trap","Travis Scott",1456167,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8
154,Saved,Khalid,1445672,https://open.spotify.com/track/248OFOZef6ShXv6DGgbnxU
155,Exchange,"Bryson Tiller",1436419,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
156,Up,Desiigner,1424198,https://open.spotify.com/track/5YYjsDIxJKpVgNLkPpBmRA
157,"m.A.A.d city","Kendrick Lamar",1409131,https://open.spotify.com/track/439TlnnznSiBbQbgXiBqAd
158,"Needed Me",Rihanna,1403455,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
159,"Rent Money",Future,1396898,https://open.spotify.com/track/4Zxdw0Hno7YDu0IzvY76Qo
160,Chanel,"Frank Ocean",1395424,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
161,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,1390275,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd
162,Panda,Desiigner,1380686,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
163,"Dirt On My Boots","Jon Pardi",1377749,https://open.spotify.com/track/7f08qp3HROTkfrtNpiYGGo
164,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",1368315,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
165,"Gucci On My (feat. 21 Savage, YG & Migos)","Mike WiLL Made-It",1352936,https://open.spotify.com/track/3IHZc2GclRu5nJpTqty7MY
166,Mercy,"Shawn Mendes",1351518,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
167,Ride,"Twenty One Pilots",1351495,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
168,"Lose You",Drake,1351285,https://open.spotify.com/track/2Na0z2gfN67Rzf0vp74Wi3
169,"May We All","Florida Georgia Line",1346818,https://open.spotify.com/track/498ZVInMGDkmmNVpSWqHiZ
170,"Too Good",Drake,1346689,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
171,"Kelly Price (feat. Travis Scott)",Migos,1346331,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
172,Jumpman,Drake,1343632,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
173,"ROCKABYE BABY (feat. ScHoolboy Q)","Joey Bada$$",1335289,https://open.spotify.com/track/31mqc7EKPsJf3pe6H5jEfC
174,"Patty Cake","Kodak Black",1334815,https://open.spotify.com/track/0bXFIF7iL17TYLyx8JHziM
175,"Hometown Girl","Josh Turner",1318800,https://open.spotify.com/track/5C6uh95eAL0RBTSGXKQwvk
176,"In Case You Didn't Know","Brett Young",1317793,https://open.spotify.com/track/10M2Ex445zw585Ducldzkw
177,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",1314382,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
178,"The Other",Lauv,1313765,https://open.spotify.com/track/3ZD3kjn80pQ9keYO8eqp9d
179,"Young Dumb & Broke",Khalid,1309945,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
180,"Since Way Back",Drake,1309053,https://open.spotify.com/track/5JUu0unA8VwhTZ9LkMWUVI
181,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)","Mike WiLL Made-It",1303794,https://open.spotify.com/track/3A2OHirUAlQp2x73BJlEDA
182,"There He Go","Kodak Black",1295394,https://open.spotify.com/track/6canmpFnLHVUzvVWAodifz
183,"Don't Wanna Know","Maroon 5",1292159,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
184,"Running Back (feat. Lil Wayne)",Wale,1290138,https://open.spotify.com/track/4mAhZaSrcVD6cJWA6IqFrk
185,"How Far I'll Go","Auli'i Cravalho",1288754,https://open.spotify.com/track/6mb6lVLNrcUgLnEN8QnDJd
186,"Skateboard P (feat. Big Sean)",Madeintyo,1283971,https://open.spotify.com/track/07pJdL0L9XDGW0HBj0rIS2
187,"Scars To Your Beautiful","Alessia Cara",1269725,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
188,TG4M,"Zara Larsson",1268624,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz
189,"Skepta Interlude",Drake,1253298,https://open.spotify.com/track/2dfqS3MRtbLZSZA1IL8xY5
190,Draco,Future,1251979,https://open.spotify.com/track/67dyMPOUsbZ9Yg06PnfAAh
191,"Want Her","DJ Mustard",1244754,https://open.spotify.com/track/4zrwPfq5ENLzjq41Txs2HR
192,"What They Want",Russ,1241506,https://open.spotify.com/track/3aWhZ1zeqy1kdjXiyMh22T
193,Antidote,"Travis Scott",1234045,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
194,"Erase Your Social","Lil Uzi Vert",1227355,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN
195,Reminder,"The Weeknd",1226635,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
196,"Stressed Out","Twenty One Pilots",1225279,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
197,"Work from Home","Fifth Harmony",1219945,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
198,Chantaje,Shakira,1219455,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
199,"Star Of The Show","Thomas Rhett",1212421,https://open.spotify.com/track/63OQWdXMq0Pe6pRpWY5gO0
200,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1208757,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",23993465,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,DNA.,"Kendrick Lamar",20025023,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
