Position,"Track Name",Artist,Streams,URL
56,"Don't Let Me Down","The Chainsmokers",6895885,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
57,Human,"Rag'n'Bone Man",6596306,https://open.spotify.com/track/3erAiWBiKsbVG39cqCrsI0
58,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",6530112,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
59,"Sunset Lover","Petit Biscuit",6449590,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
60,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",6440679,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
61,"Water Under the Bridge",Adele,6399296,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
62,"Lot to Learn","Luke Christopher",6341248,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
63,"I Got You","Bebe Rexha",6222128,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
64,"Make Me (Cry)","Noah Cyrus",6158707,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
65,Photograph,"Ed Sheeran",6140717,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
66,"Broccoli (feat. Lil Yachty)",D.R.A.M.,6006857,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
67,"Vente Pa' Ca","Ricky Martin",5952608,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
68,Sexual,NEIKED,5798965,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
69,Touch,"Little Mix",5702845,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
70,"Party Monster","The Weeknd",5645526,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
71,"You Don't Know Me","Jax Jones",5472738,https://open.spotify.com/track/2SZy40PLDk3vFucXUGFCFA
72,"It's Gotta Be You",Isaiah,5472295,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
73,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",5462518,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
74,Redbone,"Childish Gambino",5426764,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
75,"Lighthouse - Andrelli Remix","Hearts & Colors",5381572,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
76,"Thinking Out Loud","Ed Sheeran",5194092,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
