Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,33718187,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2,"This Is What You Came For","Calvin Harris",23541240,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"Don't Let Me Down","The Chainsmokers",20383524,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
4,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",19964444,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
5,"Too Good",Drake,18595735,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
6,Panda,Desiigner,17189141,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
7,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",16977881,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
8,"Cheap Thrills",Sia,16731433,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
9,"Work from Home","Fifth Harmony",16163868,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
10,"Treat You Better","Shawn Mendes",16120458,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
11,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",15915415,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
12,"No Money",Galantis,15329509,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
13,Ride,"Twenty One Pilots",14425529,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
14,"The Ocean","Mike Perry",13898975,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
15,Sex,"Cheat Codes",13619011,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
16,"Into You","Ariana Grande",13615711,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
17,"Needed Me",Rihanna,13540327,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
18,"i hate u, i love u (feat. olivia o'brien)",gnash,13364388,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
19,"Send My Love (To Your New Lover)",Adele,13285140,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
20,"Don't Mind","Kent Jones",13162661,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
21,"This Girl - Kungs Vs. Cookin' On 3 Burners",Kungs,12401749,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
22,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",11707061,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
23,Middle,"DJ Snake",11568968,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
24,Controlla,Drake,11347317,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
25,"Kill Em With Kindness","Selena Gomez",11312054,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
26,"Fast Car - Radio Edit","Jonas Blue",11179252,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
27,Heathens,"Twenty One Pilots",10654611,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
28,"Please Don't Go","Joel Adams",10644927,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
29,"DUELE EL CORAZON","Enrique Iglesias",10557946,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
30,"Cake By The Ocean",DNCE,10347824,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
31,Faded,"Alan Walker",10249672,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
32,Capsize,FRENSHIP,10118624,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
33,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",10103817,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
34,Work,Rihanna,10055724,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
35,"7 Years","Lukas Graham",9622074,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
36,"Hymn For The Weekend - Seeb Remix",Coldplay,9563358,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
37,"Stressed Out","Twenty One Pilots",9321783,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
38,Gold,Kiiara,9048744,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
39,Close,"Nick Jonas",8675569,https://open.spotify.com/track/2wJhFcye5iiW2mVBpGednz
40,"Lush Life","Zara Larsson",8660954,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
41,"Once In a While",Timeflies,8475432,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
42,"Love Yourself","Justin Bieber",8177305,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
43,"Final Song",MØ,8139987,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
44,"Never Be Like You",Flume,8139274,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
45,"Me, Myself & I",G-Eazy,7937078,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
46,"Wherever I Go",OneRepublic,7918655,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
47,Sorry,"Justin Bieber",7617572,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
48,"Never Forget You","Zara Larsson",7310574,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
49,"All In My Head (Flex)","Fifth Harmony",7001351,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
50,"If It Ain't Love","Jason Derulo",6635887,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
51,"Perfect Strangers","Jonas Blue",6546959,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
52,"Say It (feat. Tove Lo)",Flume,6209264,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
53,PILLOWTALK,ZAYN,5863050,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
54,"Hymn For The Weekend",Coldplay,5688785,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
55,"Wild Things","Alessia Cara",5580486,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
56,"Ain't Your Mama","Jennifer Lopez",5496450,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
57,Stay,Kygo,5406201,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
58,"Sing Me to Sleep","Alan Walker",5375539,https://open.spotify.com/track/6UcTHiP25meOD9ox8Rspgx
59,Roses,"The Chainsmokers",5321093,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
60,"For Free","DJ Khaled",5225816,https://open.spotify.com/track/4JDZl9nKIAhAhDjw753u4X
61,Broccoli,D.R.A.M.,5207972,https://open.spotify.com/track/0qy5D3OJre7SPJNMOL9I71
62,"Let Me Hold You (Turn Me On)","Dante Klein",5156931,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
63,"Low Life",Future,5030277,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
64,Toothbrush,DNCE,4856231,https://open.spotify.com/track/38510fWvtOkrFjg2EDkJtT
65,"Pop Style",Drake,4796008,https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk
66,Photograph,"Ed Sheeran",4738497,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
67,"Lean On (feat. MØ & DJ Snake)","Major Lazer",4681326,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
68,"Body Say","Demi Lovato",4660533,https://open.spotify.com/track/0i7bg5CcqyaceKjXaPXywN
69,"Hotline Bling",Drake,4645177,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
70,Stitches,"Shawn Mendes",4582930,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
71,"My House","Flo Rida",4466608,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
72,"Dangerous Woman","Ariana Grande",4453625,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
73,Hello,Adele,4399852,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
74,Jumpman,Drake,4298299,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
75,"Cheap Thrills",Sia,4291071,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
76,"What Do You Mean?","Justin Bieber",4275293,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
77,Bobo,"J Balvin",4262525,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
